date,orders
2022-01-01,268
2022-01-02,206
2022-01-03,164
2022-01-04,162
2022-01-05,170
2022-01-06,167
2022-01-07,182
2022-01-08,216
2022-01-09,201
2022-01-10,163
2022-01-11,176
2022-01-12,179
2022-01-13,179
2022-01-14,175
2022-01-15,205
2022-01-16,216
2022-01-17,160
2022-01-18,171
2022-01-19,162
2022-01-20,169
2022-01-21,170
2022-01-22,205
2022-01-23,199
2022-01-24,176
2022-01-25,179
2022-01-26,179
2022-01-27,162
2022-01-28,184
2022-01-29,210
2022-01-30,216
2022-01-31,163
2022-02-01,177
2022-02-02,177
2022-02-03,180
2022-02-04,204
2022-02-05,207
2022-02-06,220
2022-02-07,188
2022-02-08,179
2022-02-09,187
2022-02-10,191
2022-02-11,197
2022-02-12,206
2022-02-13,224
2022-02-14,195
2022-02-15,172
2022-02-16,199
2022-02-17,194
2022-02-18,192
2022-02-19,245
2022-02-20,234
2022-02-21,174
2022-02-22,189
2022-02-23,198
2022-02-24,193
2022-02-25,208
2022-02-26,223
2022-02-27,313
2022-02-28,200
2022-03-01,188
2022-03-02,201
2022-03-03,196
2022-03-04,208
2022-03-05,217
2022-03-06,228
2022-03-07,190
2022-03-08,205
2022-03-09,212
2022-03-10,190
2022-03-11,201
2022-03-12,241
2022-03-13,215
2022-03-14,189
2022-03-15,197
2022-03-16,215
2022-03-17,212
2022-03-18,207
2022-03-19,230
2022-03-20,236
2022-03-21,211
2022-03-22,195
2022-03-23,201
2022-03-24,210
2022-03-25,211
2022-03-26,234
2022-03-27,228
2022-03-28,197
2022-03-29,196
2022-03-30,217
2022-03-31,214
2022-04-01,215
2022-04-02,223
2022-04-03,216
2022-04-04,189
2022-04-05,183
2022-04-06,193
2022-04-07,177
2022-04-08,198
2022-04-09,199
2022-04-10,199
2022-04-11,178
2022-04-12,176
2022-04-13,189
2022-04-14,212
2022-04-15,187
2022-04-16,211
2022-04-17,224
2022-04-18,185
2022-04-19,183
2022-04-20,186
2022-04-21,197
2022-04-22,201
2022-04-23,207
2022-04-24,221
2022-04-25,181
2022-04-26,175
2022-04-27,191
2022-04-28,182
2022-04-29,274
2022-04-30,294
2022-05-01,297
2022-05-02,331
2022-05-03,352
2022-05-04,260
2022-05-05,200
2022-05-06,221
2022-05-07,218
2022-05-08,257
2022-05-09,184
2022-05-10,213
2022-05-11,200
2022-05-12,219
2022-05-13,218
2022-05-14,224
2022-05-15,261
2022-05-16,215
2022-05-17,204
2022-05-18,206
2022-05-19,209
2022-05-20,206
2022-05-21,254
2022-05-22,238
2022-05-23,199
2022-05-24,196
2022-05-25,201
2022-05-26,196
2022-05-27,229
2022-05-28,238
2022-05-29,256
2022-05-30,199
2022-05-31,196
2022-06-01,207
2022-06-02,207
2022-06-03,219
2022-06-04,238
2022-06-05,243
2022-06-06,188
2022-06-07,197
2022-06-08,227
2022-06-09,204
2022-06-10,206
2022-06-11,246
2022-06-12,263
2022-06-13,186
2022-06-14,202
2022-06-15,201
2022-06-16,192
2022-06-17,224
2022-06-18,239
2022-06-19,244
2022-06-20,191
2022-06-21,207
2022-06-22,201
2022-06-23,206
2022-06-24,202
2022-06-25,224
2022-06-26,258
2022-06-27,192
2022-06-28,204
2022-06-29,204
2022-06-30,202
2022-07-01,186
2022-07-02,219
2022-07-03,213
2022-07-04,175
2022-07-05,180
2022-07-06,194
2022-07-07,191
2022-07-08,193
2022-07-09,302
2022-07-10,336
2022-07-11,278
2022-07-12,274
2022-07-13,180
2022-07-14,187
2022-07-15,195
2022-07-16,217
2022-07-17,222
2022-07-18,169
2022-07-19,190
2022-07-20,168
2022-07-21,189
2022-07-22,190
2022-07-23,216
2022-07-24,230
2022-07-25,184
2022-07-26,164
2022-07-27,163
2022-07-28,186
2022-07-29,175
2022-07-30,204
2022-07-31,216
2022-08-01,158
2022-08-02,157
2022-08-03,180
2022-08-04,179
2022-08-05,182
2022-08-06,205
2022-08-07,199
2022-08-08,157
2022-08-09,171
2022-08-10,168
2022-08-11,163
2022-08-12,187
2022-08-13,202
2022-08-14,210
2022-08-15,160
2022-08-16,166
2022-08-17,166
2022-08-18,168
2022-08-19,182
2022-08-20,193
2022-08-21,208
2022-08-22,169
2022-08-23,188
2022-08-24,161
2022-08-25,182
2022-08-26,178
2022-08-27,199
2022-08-28,188
2022-08-29,161
2022-08-30,175
2022-08-31,171
2022-09-01,183
2022-09-02,185
2022-09-03,221
2022-09-04,212
2022-09-05,155
2022-09-06,170
2022-09-07,163
2022-09-08,154
2022-09-09,181
2022-09-10,222
2022-09-11,211
2022-09-12,162
2022-09-13,167
2022-09-14,189
2022-09-15,182
2022-09-16,186
2022-09-17,206
2022-09-18,210
2022-09-19,178
2022-09-20,179
2022-09-21,180
2022-09-22,170
2022-09-23,189
2022-09-24,199
2022-09-25,221
2022-09-26,160
2022-09-27,173
2022-09-28,177
2022-09-29,168
2022-09-30,201
2022-10-01,225
2022-10-02,208
2022-10-03,181
2022-10-04,181
2022-10-05,159
2022-10-06,185
2022-10-07,187
2022-10-08,210
2022-10-09,202
2022-10-10,171
2022-10-11,176
2022-10-12,192
2022-10-13,186
2022-10-14,188
2022-10-15,226
2022-10-16,207
2022-10-17,171
2022-10-18,162
2022-10-19,196
2022-10-20,192
2022-10-21,197
2022-10-22,217
2022-10-23,215
2022-10-24,177
2022-10-25,176
2022-10-26,180
2022-10-27,184
2022-10-28,204
2022-10-29,217
2022-10-30,214
2022-10-31,170
2022-11-01,187
2022-11-02,214
2022-11-03,205
2022-11-04,206
2022-11-05,225
2022-11-06,221
2022-11-07,190
2022-11-08,203
2022-11-09,195
2022-11-10,199
2022-11-11,205
2022-11-12,232
2022-11-13,217
2022-11-14,304
2022-11-15,188
2022-11-16,210
2022-11-17,195
2022-11-18,215
2022-11-19,251
2022-11-20,233
2022-11-21,188
2022-11-22,200
2022-11-23,202
2022-11-24,195
2022-11-25,216
2022-11-26,260
2022-11-27,236
2022-11-28,194
2022-11-29,190
2022-11-30,208
2022-12-01,202
